S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
818,Ruttonsha International Rectifier Ltd.,INE302D01016,117035,Electronics - Components,Electricals,5,
819,Lumax Industries Ltd.,INE162B01018,117206,Auto Ancillary,Automobile & Ancillaries,5,
820,Shree Karthik Papers Ltd.,INE538D01015,116106,Paper & Paper Products,Paper,5,
821,International Data Management Ltd.,INE649R01010,117044,IT - Hardware,Consumer Durables,5,
822,Ind-Agiv Commerce Ltd.,INE115E01010,117077,Trading,Trading,5,
823,Salzer Electronics Ltd.,INE457F01013,117059,Cable,Electricals,5,
824,PCS Technology Ltd.,INE834B01012,117119,IT - Hardware,Consumer Durables,5,
825,Ventura Textiles Ltd.,INE810C01044,116098,Textile,Textile,5,
826,SPEL Semiconductor Ltd.,INE252A01019,117166,Electronics - Components,Electricals,5,
827,Jumbo Bag Ltd.,INE699D01015,116078,Plastic Products,Plastic Products,5,
828,Usha Martin Ltd.,INE228A01035,117146,Steel & Iron Products,Iron & Steel,5,
829,Switching Technologies Gunther Ltd.,INE311D01017,117201,Electronics - Components,Electricals,5,
830,Havells India Ltd.,INE176B01034,117354,Electric Equipment,Capital Goods,5,
831,Digispice Technologies Ltd.,INE927C01020,117214,IT - Software,IT,5,
832,Mindteck (India) Ltd.,INE110B01017,117344,IT - Software,IT,5,
833,Dynavision Ltd.,INE083E01010,117238,Miscellaneous,Miscellaneous,5,
834,BCC Fuba India Ltd.,INE788D01016,117246,Electronics - Components,Electricals,5,
835,Symphony Ltd.,INE225D01027,117385,Consumer Durables - Domestic Appliances,Consumer Durables,5,
836,Fine-Line Circuits Ltd.,INE087E01011,117264,Electronics - Components,Electricals,5,
837,HBL Power Systems Ltd.,INE292B01021,117271,Batteries,Automobile & Ancillaries,5,
838,S&S Power Switchgear Ltd.,INE902B01017,117273,Electric Equipment,Capital Goods,5,
839,Gujarat Industries Power Company Ltd.,INE162A01010,117300,Power Generation/Distribution,Power,5,
840,PAE Ltd.,INE766A01018,117230,Trading,Trading,5,
841,Savant Infocomm Ltd.,INE898E01011,117320,Cable,Electricals,5,
842,Gujarat Intrux Ltd.,INE877E01015,117372,Castings/Forgings,Automobile & Ancillaries,5,
843,ACI Infocom Ltd.,INE167B01025,117356,IT - Hardware,Consumer Durables,5,
844,Igarashi Motors India Ltd.,INE188B01013,117380,Electric Equipment,Capital Goods,5,
845,Precision Electronics Ltd.,INE143C01024,117258,Engineering - Construction,Infrastructure,5,
846,Incap Ltd.,INE437C01012,117370,Electronics - Components,Electricals,5,
847,Gujarat Poly Electronics Ltd.,INE541F01022,117288,Electronics - Components,Electricals,5,
848,Vintron Informatics Ltd.,INE043B01028,117393,Electronics - Components,Electricals,5,
849,Pan Electronics (India) Ltd.,INE648E01010,117397,Electronics - Components,Electricals,5,
850,Elnet Technologies Ltd.,INE033C01019,117477,IT - Software,IT,5,
851,Magna Electro Castings Ltd.,INE437D01010,117449,Castings/Forgings,Automobile & Ancillaries,5,
852,Lee & Nee Softwares (Exports) Ltd.,INE791B01014,117415,IT - Software,IT,5,
853,Patels Airtemp (India) Ltd.,INE082C01024,117417,Engineering - Industrial Equipments,Capital Goods,5,
854,Butterfly Gandhimathi Appliances Ltd.,INE295F01017,117421,Consumer Durables - Domestic Appliances,Consumer Durables,5,
855,Dutron Polymers Ltd.,INE940C01015,117437,Plastic Products,Plastic Products,5,
856,Narmada Macplast Drip Irrigation Systems Ltd.,INE060D01010,117431,Plastic Products,Plastic Products,5,
857,RS Software (India) Ltd.,INE165B01029,117447,IT - Software,IT,5,
858,Rajratan Global Wire Ltd.,INE451D01029,117522,Auto Ancillary,Automobile & Ancillaries,5,
859,Surana Telecom And Power Ltd.,INE130B01031,117530,Power Generation/Distribution,Power,5,
860,Linaks Microelectronics Ltd.,INE028C01027,117463,Electronics - Components,Electricals,5,
861,Marsons Ltd.,INE415B01044,117467,Electric Equipment,Capital Goods,5,
862,Accel Ltd.,INE258C01038,117494,IT - Hardware,Consumer Durables,5,
863,Roto Pumps Ltd.,INE535D01029,117500,Compressors / Pumps,Capital Goods,5,
864,TTK Prestige Ltd.,INE690A01028,117506,Consumer Durables - Domestic Appliances,Consumer Durables,5,
865,Onward Technologies Ltd.,INE229A01017,117536,IT - Software,IT,5,
866,D&H India Ltd.,INE589D01018,117514,Electrodes & Welding Equipment,Capital Goods,5,
867,Athena Global Technologies Ltd.,INE576B01019,117429,IT - Software,IT,5,
868,Bheema Cements Ltd.,INE333H01020,118017,Cement & Construction Materials,Construction Materials,5,
869,Alfa Transformers Ltd.,INE209C01015,117546,Electric Equipment,Capital Goods,5,
870,Starlite Components Ltd.,INE035C01022,117548,Electric Equipment,Capital Goods,5,
871,NHC Foods Ltd.,INE141C01028,117554,Consumer Food,FMCG,5,
872,Tasty Bite Eatables Ltd.,INE488B01017,119091,Consumer Food,FMCG,5,
873,Trigyn Technologies Ltd.,INE948A01012,117562,IT - Software,IT,5,
874,Modi Naturals Ltd.,INE537F01012,119003,Edible Oil,FMCG,5,
875,Keerthi Industries Ltd.,INE145L01012,118011,Cement & Construction Materials,Construction Materials,5,
876,AVT Natural Products Ltd.,INE488D01021,119105,Consumer Food,FMCG,5,
877,Anjani Portland Cement Ltd.,INE071F01012,118091,Cement & Construction Materials,Construction Materials,5,
878,Prashant India Ltd.,INE100E01012,119014,Textile,Textile,5,
879,Ritesh International Ltd.,INE534D01014,119097,Consumer Food,FMCG,5,
880,Suraj Products Ltd.,INE069E01019,118075,Steel/Sponge Iron/Pig Iron,Iron & Steel,5,
881,Shah Foods Ltd.,INE455D01012,119031,Consumer Food,FMCG,5,
882,Gujarat Sidhee Cement Ltd.,INE542A01039,118029,Cement & Construction Materials,Construction Materials,5,
883,Hindustan Foods Ltd.,INE254N01026,119126,Consumer Food,FMCG,5,
884,PVP Ventures Ltd.,INE362A01016,117556,Construction - Real Estate,Realty,5,
885,Khandelwal Extractions Ltd.,INE687W01010,119064,Solvent  Extraction,Agri,5,
886,VSF Projects Ltd.,INE923K01014,119331,Engineering - Construction,Infrastructure,5,
887,Ashiana Agro Industries Ltd.,INE709D01012,119174,Trading,Trading,5,
888,Prima Agro Ltd.,INE297D01018,119262,Consumer Food,FMCG,5,
889,Retro Green Revolution Ltd.,INE601N01010,119191,Tea/Coffee,Agri,5,
890,Saptarishi Agro Industries Ltd.,INE233P01017,119238,Agriculture,Agri,5,
891,Williamson Financial Services Ltd.,INE188E01017,119214,Finance - NBFC,Finance,5,
892,Ajanta Soya Ltd.,INE601B01023,119216,Edible Oil,FMCG,5,
893,Superior Industrial Enterprises Ltd.,INE843L01012,119234,Paper & Paper Products,Paper,5,
894,ADF Foods Ltd.,INE982B01019,119183,Consumer Food,FMCG,5,
895,Sarda Proteins Ltd.,INE995U01011,119242,Trading,Trading,5,
896,Sanwaria Consumer Ltd.,INE890C01046,119260,Edible Oil,FMCG,5,
897,Richirich Inventures Ltd.,INE102C01020,119230,Solvent  Extraction,Agri,5,
898,Tarai Foods Ltd.,INE906C01016,119285,Agriculture,Agri,5,
899,Modern Dairies Ltd.,INE617B01011,119287,Consumer Food,FMCG,5,
900,Bambino Agro Industries Ltd.,INE921D01013,119295,Consumer Food,FMCG,5,
901,Prime Industries Ltd.,INE543F01028,119299,Consumer Food,FMCG,5,
902,Madhur Industries Ltd.,INE110C01015,119279,Trading,Trading,5,
903,Bansisons Tea Industries Ltd.,INE856E01019,119353,Tea/Coffee,Agri,5,
904,Anik Industries Ltd.,INE087B01017,119383,Consumer Food,FMCG,5,
905,Sharat Industries Ltd.,INE220Z01013,119397,Consumer Food,FMCG,5,
906,KMG Milk Food Ltd.,INE873N01015,119415,Consumer Food,FMCG,5,
907,KSE Ltd.,INE953E01014,119421,Consumer Food,FMCG,5,
908,IB Infotech Enterprises Ltd.,INE678B01021,119463,Consumer Food,FMCG,5,
909,Narbada Gems And Jewellery Ltd.,INE540C01021,119455,Trading,Trading,5,
910,Virat Crane Industries Ltd.,INE295C01014,119457,Consumer Food,FMCG,5,
911,Chordia Food Products Ltd.,INE975C01011,119475,Consumer Food,FMCG,5,
912,Ambar Protein Industries Ltd.,INE072V01017,119471,Edible Oil,FMCG,5,
913,Tai Industries Ltd.,INE358D01018,119483,Trading,Trading,5,
914,BKV Industries Ltd.,INE356C01022,119500,Aquaculture,Agri,5,
915,NCC Blue Water Products Ltd.,INE630N01019,119506,Aquaculture,Agri,5,
916,Munjal Showa Ltd.,INE577A01027,120043,Auto Ancillary,Automobile & Ancillaries,5,
917,Asian Tea & Exports Ltd.,INE822B01017,119532,Trading,Trading,5,
918,Heritage Foods Ltd.,INE978A01027,119552,Consumer Food,FMCG,5,
919,Munjal Auto Industries Ltd.,INE672B01032,120059,Auto Ancillary,Automobile & Ancillaries,5,
920,Simran Farms Ltd.,INE354D01017,119566,Agriculture,Agri,5,
921,Jamna Auto Industries Ltd.,INE039C01032,120051,Auto Ancillary,Automobile & Ancillaries,5,
922,Suryo Foods & Industries Ltd.,INE565E01016,119604,Consumer Food,FMCG,5,
923,RACL Geartech Ltd.,INE704B01017,120073,Auto Ancillary,Automobile & Ancillaries,5,
924,Mahaan Foods Ltd.,INE734D01010,119612,Consumer Food,FMCG,5,
925,Rico Auto Industries Ltd.,INE209B01025,120008,Auto Ancillary,Automobile & Ancillaries,5,
926,Omax Autos Ltd.,INE090B01011,120021,Trading,Trading,5,
927,DFM Foods Ltd.,INE456C01020,119588,Consumer Food,FMCG,5,
928,Kellton Tech Solutions Ltd.,INE164B01022,119602,IT - Software,IT,5,
929,Sical Logistics Ltd.,INE075B01012,120086,Logistics,Logistics,5,
930,Ratnamani Metals & Tubes Ltd.,INE703B01027,120111,Steel & Iron Products,Iron & Steel,5,
931,Integrated Proteins Ltd.,INE177M01013,119606,Miscellaneous,Miscellaneous,5,
932,Jay Bharat Maruti Ltd.,INE571B01028,120066,Auto Ancillary,Automobile & Ancillaries,5,
933,Samkrg Pistons & Rings Ltd.,INE706B01012,120075,Auto Ancillary,Automobile & Ancillaries,5,
934,Eastcoast Steel Ltd.,INE315F01013,120081,Steel & Iron Products,Iron & Steel,5,
935,JTEKT India Ltd.,INE643A01035,120057,Auto Ancillary,Automobile & Ancillaries,5,
936,Soma Textiles & Industries Ltd.,INE314C01013,121034,Textile,Textile,5,
937,Arcee Industries Ltd.,INE276D01012,120121,Plastic Products,Plastic Products,5,
938,ABC India Ltd.,INE125D01011,120123,Logistics,Logistics,5,
939,Balurghat Technologies Ltd.,INE654B01014,120127,Logistics,Logistics,5,
940,Coastal Roadways Ltd.,INE229E01019,120131,Logistics,Logistics,5,
941,Automotive Stampings and Assemblies Ltd.,INE900C01027,120119,Auto Ancillary,Automobile & Ancillaries,5,
942,Starlog Enterprises Ltd.,INE580C01019,120155,Miscellaneous,Miscellaneous,5,
943,Pasari Spinning Mills Ltd.,INE604F01010,121080,Textile - Spinning,Textile,5,
944,Indo Count Industries Ltd.,INE483B01026,121016,Textile,Textile,5,
945,Eurotex Industries And Exports Ltd.,INE022C01012,121014,Textile - Spinning,Textile,5,
946,Maral Overseas Ltd.,INE882A01013,121018,Textile - Spinning,Textile,5,
947,Sibar Auto Parts Ltd.,INE441C01014,120141,Auto Ancillary,Automobile & Ancillaries,5,
948,Source Industries (India) Ltd.,INE695C01015,121036,Textile,Textile,5,
949,Advance Lifestyles Ltd.,INE900E01015,121048,Textile,Textile,5,
950,Kakatiya Textiles Ltd.,INE092E01011,121054,Textile - Spinning,Textile,5,
951,Perfect-Octave Media Projects Ltd.,INE814L01013,121062,TV Broadcasting & Software Production,Media & Entertainment,5,
952,Hisar Spinning Mills Ltd.,INE689E01014,121068,Textile - Spinning,Textile,5,
953,CLC Industries Ltd.,INE376C01020,121082,Textile - Spinning,Textile,5,
954,Damodar Industries Ltd.,INE497D01022,121220,Textile - Spinning,Textile,5,
955,Gangotri Textiles Ltd.,INE670B01028,121176,Textile - Spinning,Textile,5,
956,Nagreeka Exports Ltd.,INE123B01028,121109,Textile - Spinning,Textile,5,
957,Suditi Industries Ltd.,INE691D01012,121113,Textile,Textile,5,
958,Gem Spinners India Ltd.,INE165F01020,121133,Textile - Spinning,Textile,5,
959,Dhanlaxmi Fabrics Ltd.,INE953D01016,121151,Textile,Textile,5,
960,Sanblue Corporation Ltd.,INE602D01027,121222,Trading,Trading,5,
961,SIL Investments Ltd.,INE923A01015,121194,Finance - NBFC,Finance,5,
962,Suryalakshmi Cotton Mills Ltd.,INE713B01026,121200,Textile,Textile,5,
963,Cityman Ltd.,INE117C01010,121210,Textile,Textile,5,
964,Zodiac Clothing Company Ltd.,INE206B01013,121163,Textile,Textile,5,
965,Seasons Furnishings Ltd.,INE454D01015,121182,Trading,Trading,5,
966,Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,INE456D01010,121161,Textile - Spinning,Textile,5,
967,Sri Ramakrishna Mills (Coimbatore) Ltd.,INE306D01017,121178,Textile - Spinning,Textile,5,
968,United Textiles Ltd.,INE727E01012,121188,Textile - Spinning,Textile,5,
969,Aditya Spinners Ltd.,INE122D01026,121141,Textile - Spinning,Textile,5,
970,Olympia Industries Ltd.,INE482O01021,121105,Retailing,Retailing,5,
971,Uniroyal Industries Ltd.,INE980D01019,121226,Textile,Textile,5,
972,Dhanalaxmi Roto Spinners Ltd.,INE220C01012,121216,Trading,Trading,5,
973,Eureka Industries Ltd.,INE958A01011,121137,Textile - Spinning,Textile,5,
974,Samtex Fashions Ltd.,INE931D01020,121206,Textile,Textile,5,
975,Felix Global Venture Ltd.,INE083G01031,121228,Textile,Textile,5,
976,Shanthi Gears Ltd.,INE631A01022,122034,Auto Ancillary,Automobile & Ancillaries,5,
977,Sunil Industries Ltd.,INE124M01015,121232,Textile,Textile,5,
978,KKRRAFTON Developers Ltd.,INE893C01032,121238,IT - Software,IT,5,
979,Sambandam Spinning Mills Ltd.,INE304D01012,121240,Textile - Spinning,Textile,5,
980,Kandagiri Spinning Mills Ltd.,INE292D01019,121242,Textile - Spinning,Textile,5,
981,Chitradurga Spintex Ltd.,INE676G01024,121244,Textile - Spinning,Textile,5,
982,Kitex Garments Ltd.,INE602G01020,121248,Textile,Textile,5,
983,Timken India Ltd.,INE325A01013,122113,Bearings,Automobile & Ancillaries,5,
984,Yuken India Ltd.,INE384C01016,122108,Engineering - Industrial Equipments,Capital Goods,5,
985,Austin Engineering Company Ltd.,INE759F01012,122005,Bearings,Automobile & Ancillaries,5,
986,United Drilling Tools Ltd.,INE961D01019,122014,Engineering - Industrial Equipments,Capital Goods,5,
987,Fluidomat Ltd.,INE459C01016,122017,Engineering - Industrial Equipments,Capital Goods,5,
988,Ema India Ltd.,INE279D01016,122027,Engineering - Industrial Equipments,Capital Goods,5,
989,Windsor Machines Ltd.,INE052A01021,122029,Engineering - Industrial Equipments,Capital Goods,5,
990,Cranex Ltd.,INE608B01010,122001,Engineering - Industrial Equipments,Capital Goods,5,
991,The Hi-Tech Gears Ltd.,INE127B01011,122073,Auto Ancillary,Automobile & Ancillaries,5,
992,Elgi Equipments Ltd.,INE285A01027,122074,Compressors / Pumps,Capital Goods,5,
993,United Van Der Horst Ltd.,INE890G01013,122091,Engineering - Industrial Equipments,Capital Goods,5,
