S. No.,compname,isin,fincode,sub_sector,sector,Week,Symbols
593,KZ Leasing & Finance Ltd.,INE006C01015,111728,Finance - NBFC,Finance,3,
594,Baid Finserv Ltd.,INE020D01022,111724,Finance - NBFC,Finance,3,
595,Mehta Securities Ltd.,INE241B01010,111738,Finance - Investment,Finance,3,
596,Mehta Housing Finance Ltd.,INE239B01014,111740,Finance - Housing,Finance,3,
597,Royal India Corporation Ltd.,INE510H01015,112047,Trading,Trading,3,
598,Shalibhadra Finance Ltd.,INE861D01011,111754,Finance - NBFC,Finance,3,
599,Mansi Finance (Chennai) Ltd.,INE094E01017,111758,Finance - NBFC,Finance,4,
600,Master Trust Ltd.,INE677D01029,111768,Finance - NBFC,Finance,4,
601,Seven Hill Industries Ltd.,INE518D01025,111760,Finance - Investment,Finance,4,
602,Abirami Financial Services (India) Ltd.,INE195I01013,111756,Finance - Investment,Finance,4,
603,ND Metal Industries Ltd.,INE643D01013,112024,Metal - Non Ferrous,Non - Ferrous Metals,4,
604,Sobhagya Mercantile Ltd.,INE754D01018,112014,Trading,Trading,4,
605,CNI Research Ltd.,INE135H01029,112018,Finance - Investment,Finance,4,
606,Saraswati Commercial (India) Ltd.,INE967G01019,112020,Finance - NBFC,Finance,4,
607,Aastamangalam Finance Ltd.,INE819K01014,111764,Finance - NBFC,Finance,4,
608,Kapil Cotex Ltd.,INE393H01016,112036,Textile,Textile,4,
609,Luharuka Media & Infra Ltd.,INE195E01020,112048,Finance - NBFC,Finance,4,
610,UPL Ltd.,INE628A01036,112070,Pesticides & Agrochemicals,Chemicals,4,
611,Vishvprabha Ventures Ltd.,INE762D01011,112064,Trading,Trading,4,
612,Deccan Gold Mines Ltd.,INE945F01025,112068,Mining & Minerals,Mining,4,
613,Saianand Commercial Ltd.,INE092G01024,112097,Chemicals,Chemicals,4,
614,Cranes Software International Ltd.,INE234B01023,112093,IT - Software,IT,4,
615,Nidhi Granites Ltd.,INE276H01013,112103,Finance - Others,Finance,4,
616,Stephanotis Finance Ltd.,INE902L01016,112215,Finance - NBFC,Finance,4,
617,Signet Industries Ltd.,INE529F01035,112131,Trading,Trading,4,
618,Aviva Industries Ltd.,INE461H01011,112109,Trading,Trading,4,
619,Capricorn Systems Global Solutions Ltd.,INE968E01012,112169,IT - Software,IT,4,
620,Prism Medico and Pharmacy Ltd.,INE730E01016,112217,Finance - Investment,Finance,4,
621,ABans Enterprises Ltd.,INE365O01010,112165,Trading,Trading,4,
622,Vama Industries Ltd.,INE685D01022,112175,IT - Software,IT,4,
623,Silveroak Commercials Ltd.,INE798C01017,112197,Electric Equipment,Capital Goods,4,
624,Avance Technologies Ltd.,INE758A01056,112149,IT - Software,IT,4,
625,Securekloud Technologies Ltd.,INE650K01021,112161,IT - Software,IT,4,
626,Veritas (India) Ltd.,INE379J01029,112229,Trading,Trading,4,
627,Jaybharat Textiles & Real Estate Ltd.,INE091E01039,112233,Textile - Spinning,Textile,4,
628,Jai Corp Ltd.,INE070D01027,112237,Plastic Products,Plastic Products,4,
629,Ashirwad Capital Ltd.,INE894A01026,112247,Finance - Investment,Finance,4,
630,Cressanda Solutions Ltd.,INE716D01033,112379,IT - Software,IT,4,
631,Starteck Finance Ltd.,INE992I01013,112381,Finance - NBFC,Finance,4,
632,N2N Technologies Ltd.,INE043F01011,112279,Finance - Investment,Finance,4,
633,Shantai Industries Ltd.,INE408F01016,112297,Textile,Textile,4,
634,Kintech Renewables Ltd.,INE385F01016,112329,Textile,Textile,4,
635,Bhagyanagar India Ltd.,INE458B01036,112296,Metal - Non Ferrous,Non - Ferrous Metals,4,
636,Magnanimous Trade & Finance Ltd.,INE664N01018,112377,Finance - Investment,Finance,4,
637,Aravali Securities & Finance Ltd.,INE068C01015,112344,Finance - Investment,Finance,4,
638,Sword-Edge Commercials Ltd.,INE093G01022,112359,Trading,Trading,4,
639,Media Matrix Worldwide Ltd,INE200D01020,112267,"Film Production, Distribution & Entertainment",Media & Entertainment,4,
640,Shardul Securities Ltd.,INE037B01012,112393,Finance - NBFC,Finance,4,
641,Nirav Commercials Ltd.,INE242B01018,112425,Aluminium & Aluminium Products,Non - Ferrous Metals,4,
642,Apollo Finvest (India) Ltd.,INE412D01013,112437,Finance - Investment,Finance,4,
643,Enbee Trade & Finance Ltd.,INE993I01011,112441,Finance - NBFC,Finance,4,
644,Shree Global Tradefin Ltd.,INE080I01025,112463,Trading,Trading,4,
645,Shri Jagdamba Polymers Ltd.,INE564J01026,112453,Plastic Products,Plastic Products,4,
646,Polytex India Ltd.,INE012F01016,112481,Finance - NBFC,Finance,4,
647,Super Sales India Ltd.,INE091C01017,112527,Textile - Spinning,Textile,4,
648,Betex India Ltd.,INE765L01017,112477,Textile - Manmade  Fibres,Textile,4,
649,Ganon Products Ltd.,INE162L01017,112443,Trading,Trading,4,
650,Lloyds Metals & Energy Ltd.,INE281B01032,112455,Steel/Sponge Iron/Pig Iron,Iron & Steel,4,
651,Donear Industries Ltd.,INE668D01028,112519,Textile,Textile,4,
652,Oasis Securities Ltd.,INE876A01015,112489,Finance - NBFC,Finance,4,
653,Garnet International Ltd.,INE590B01010,112493,Finance - Investment,Finance,4,
654,Shalimar Productions Ltd.,INE435E01020,112499,"Film Production, Distribution & Entertainment",Media & Entertainment,4,
655,The State Trading Corporation Of India Ltd.,INE655A01013,112531,Trading,Trading,4,
656,Regent Enterprises Ltd.,INE769D01016,112624,Trading,Trading,4,
657,RLF Ltd.,INE629C01014,112618,Textile,Textile,4,
658,Macro International Ltd.,INE307N01014,112600,Trading,Trading,4,
659,Pulsar International Ltd.,INE183U01014,112591,Finance - NBFC,Finance,4,
660,Avanti Feeds Ltd.,INE871C01038,112573,Consumer Food,FMCG,4,
661,Zodiac-JRD-MKJ Ltd.,INE077B01018,112587,Industrial  Gases & Fuels,Inds. Gases & Fuels,4,
662,Sita Enterprises Ltd.,INE579D01019,112589,Finance - NBFC,Finance,4,
663,Unimode Overseas Ltd.,INE348N01034,112595,Trading,Trading,4,
664,Keynote Financial Services Ltd.,INE681C01015,112597,Finance - Investment,Finance,4,
665,Zenith Exports Ltd.,INE058B01018,112553,Textile,Textile,4,
666,Tata Steel Long Products Ltd.,INE674A01014,113010,Steel/Sponge Iron/Pig Iron,Iron & Steel,4,
667,Haria Exports Ltd.,INE772B01014,112604,Trading,Trading,4,
668,Bhandari Hosiery Exports Ltd.,INE474E01029,112608,Textile,Textile,4,
669,Kohinoor Foods Ltd.,INE080B01012,112559,Consumer Food,FMCG,4,
670,Savera Industries Ltd.,INE104E01014,112634,"Hotel, Resort & Restaurants",Hospitality,4,
671,Orbit Exports Ltd.,INE231G01010,112626,Textile,Textile,4,
672,Adani Enterprises Ltd.,INE423A01024,112599,Trading,Trading,4,
673,VBC Ferro Alloys Ltd.,INE114E01013,113005,Ferro & Silica Manganese,Ferro Manganese,4,
674,Gandhi Special Tubes Ltd.,INE524B01027,113108,Steel & Iron Products,Iron & Steel,4,
675,Nava Ltd.,INE725A01022,113023,Power Generation/Distribution,Power,4,
676,Remi Edelstahl Tubulars Ltd.,INE158G01015,113043,Steel & Iron Products,Iron & Steel,4,
677,GS Auto International Ltd.,INE736H01024,113059,Auto Ancillary,Automobile & Ancillaries,4,
678,Trans Freight Containers Ltd.,INE360D01014,113063,Engineering - Industrial Equipments,Capital Goods,4,
679,ABC Gas (International) Ltd.,INE173M01012,113119,Metal - Non Ferrous,Non - Ferrous Metals,4,
680,Oricon Enterprises Ltd.,INE730A01022,113121,Petrochemicals,Crude Oil,4,
681,Metalyst Forgings Ltd.,INE425A01011,113335,Forgings,Automobile & Ancillaries,4,
682,Steel Strips Infrastructures Ltd.,INE205F01016,113173,Construction - Real Estate,Realty,4,
683,National Steel & Agro Industries Ltd.,INE088B01015,113179,Steel & Iron Products,Iron & Steel,4,
684,Grand Foundry Ltd.,INE534A01028,113343,Steel & Iron Products,Iron & Steel,4,
685,Pennar Industries Ltd.,INE932A01024,113228,Steel & Iron Products,Iron & Steel,4,
686,Jyoti Structures Ltd.,INE197A01024,113250,Transmission Towers / Equipments,Infrastructure,4,
687,Jay Ushin Ltd.,INE289D01015,113252,Auto Ancillary,Automobile & Ancillaries,4,
688,Steel Strips Wheels Ltd.,INE802C01025,113262,Auto Ancillary,Automobile & Ancillaries,4,
689,Man Industries (India) Ltd.,INE993A01026,113269,Castings/Forgings,Automobile & Ancillaries,4,
690,Modern Steels Ltd.,INE001F01019,113303,Steel & Iron Products,Iron & Steel,4,
691,Synthiko Foils Ltd.,INE363L01029,113307,Packaging,FMCG,4,
692,Ajmera Realty & Infra India Ltd.,INE298G01027,113349,Construction - Real Estate,Realty,4,
693,Acrow India Ltd.,INE950D01012,113149,Engineering - Industrial Equipments,Capital Goods,4,
694,India Steel Works Ltd.,INE072A01029,113361,Steel & Iron Products,Iron & Steel,4,
695,Cochin Minerals & Rutile Ltd.,INE105D01013,113353,Chemicals,Chemicals,4,
696,Golkonda Aluminium Extrusions Ltd.,INE327C01031,113309,Aluminium & Aluminium Products,Non - Ferrous Metals,4,
697,Elango Industries Ltd.,INE594D01018,113452,Steel/Sponge Iron/Pig Iron,Iron & Steel,4,
